 ,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,29-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,83,91,75,107,157,108,146,238,132,124,185,171,250,250,187,119,151,292,94,281,146,163,104,156,272,273,212,210,135,187,208,310,276,235,246,190,232,254,446,314,402,276,279,386,402,238,581,434,159,261,356,440,498,495,502,266,233,396,331,418,293,431,300,222,222,479,501,702,790,681,187,1127,973,530,1579,1119,1438,789,618,1556,1412,1654,1540,1233,1014,2392,1827,2519,3246,3109,2592,2196,3593,1795,3056,3428,3593,3857,625,4682,4877,3333,4433,2695,3536,3352,3653,3520,4057,4221,3038,2537,1357,4263,3267,3259,3910,2742,2359,1559,3500,1926,2335,3357,3740,1973,1813,2107,2339,2525,3212,2992,1465,1030,1008,1698,1444,1406,1054,816,600,1213,706,1351,928,933,883,468,915,637,723,619,996,207,311,859,187,680,519,629,374,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,26,43,66,169,91,107,112,76,119,56,115,195,234,118,173,169,229,301,341,152,238,324,203,164,267,156,83,234,191,191,236,296,206,196,192,203,154,205,162,135,260,282,277,137,95,412,514,142,298,403,278,93,234,206,401,404,237,344,247,366,420,357,363,639,154,679,464,406,407,615,291,526,529,215,302,642,335,457,90,481,555,848,859,888,1014,657,632,390,882,787,543,472,433,639,954,1129,964,888,359,1718,854,906,1162,1758,997,1091,925,1883,1799,1541,1637,1479,1921,903,903,1784,1923,1998,1996,1723,1846,1364,3621,1669,1949,998,1982,1821,1251,1416,1980,0,0,2095,1217,1041,952,1938,1709,86,2947,1686,831,935,771,752,1271,853,571,1357,1117,971,321,1762,528,1650,532,2012,1769,1162,1704,1346,0
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,5,14,10,4,10,14,14,6,22,13,9,11,11,15,5,8,8,7,9,5,5,2,8,6,2,2,0,2,4,6,4,0,9,1,3,2,1,1,2,3,1,1,2,2,0,4,1,4,4,3,0,3,0,2,4,0,1,2,1,13,5,4,26,7,20,18,8,11,12,8,19,10,20,17,15,29,7,3,12,20,12,14,21,12,6,17,14,24,20,18,29,21,36,38,39,46,48,27,28,18,42,46,51,62,94,60,40,52,62,40,62,79,75,92,91,60,57,89,186,98,107,68,81,112,146,144,61,53,55,35,52,77,98,64,46,60,82,110,83,103,50,62,67,82,68,89,64,69,33,52,80,117,90,44,0
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,47,32,21,62,55,51,23,17,82,15,61,99,55,5,110,74,70,3,146,56,26,52,130,88,101,21,75,44,42,190,19,402,207,211,99,92,68,58,80,48,66,51,59,27,67,86,54,29,53,265,31,121,72,130,97,115,181,54,110,80,455,154,163,147,107,151,97,261,239,236,240,190,375,249,358,226,450,325,314,340,288,448,731,548,406,416,274,415,322,703,511,419,522,595,697,687,678,570,508,439,520,420,878,547,587,605,439,259,734,806,751,1061,503,572,794,564,817,648,771,695,699,728,591,1013,990,732,642,824,734,787,791,752,662,637,787,784,912,735,1011,772,572,645,383,703,652,626,0,673,412,410,729,549,887,547,375,320,480,649,722,838,795,478,368
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,21,49,88,57,80,126,77,331,218,244,265,369,433,471,795,842,0,0,1169,1223,1036,1510,1325,1412,898,1529,1092,1352,1163,1143,1179,554,990,1086,1758,1346,1435,1370,645,2283,2135,1973,1885,1883,1027,1300,1567,1469,2417,1525,1755,1419,1321,1275,2603,1799,1898,2049,2119,1259,1443,1759,2023,1772,1857,2046,1591,1365,2262,2140,2247,2187,2079,1848,2175,2247,2717,2189,2992,3705,2423,2304,2377,2120,3094,3115,2796,2507,2170,2702,3090,2702,3660,3212,2597,2108,3455,4084,4317,3893,4515,4230,5019,7149,5349,4890,5972,4810,5307,6367,9740,7538,8040,6510,5410,11529,6090,11694,7031,7798,8047,8460,8358,7346,11126,8544,9986,9199,9329,6846,9231,12807,12040,9718,10066,8259,6895,5996,8755,10197,8086,6542,9032,5739,4526,5295,5258,8436,7371,8373,7751,12500,11645,7085,7934,12614,7873,6469,4636,6164,5920,5585,6556,6777,4946,4480,6004,4430,5329,4981,6070,0,0
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,29,23,33,61,86,112,116,129,192,174,344,304,327,246,320,339,376,386,445,392,385,222,257,226,547,308,383,410,388,250,339,395,372,396,287,376,341,431,384,994,712,473,438,437,442,526,484,457,410,272,457,466,541,456,548,328,176,278,318,363,394,401,305,264,280,315,394,296,477,210,95,346,152,354,492,485,180,299,211,272,300,255,233,153,182,164,152,148,175,195,113,169,143,231,228,286,162,190,166,188,262,324,317,226,285,204,204,314,323,260,254,199,192,407,452,409,666,400,322,329,444,469,571,618,444,354,424,493,639,616,666,809,547,229,749,616,372,507,458,460,241,426,594,448,457,431,336,379,402,295,483,319,300,338,194,261,270,329,356,297,260,198,459,193,350,430,270,180,0
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,35,29,104,88,203,257,137,279,233,469,578,557,429,267,1090,362,399,1231,875,1000,1003,754,972,525,1346,608,766,1129,925,741,412,1853,545,2109,631,821,661,687,728,315,455,933,1064,523,0,686,648,374,789,627,573,570,211,568,522,609,621,618,716,697,314,587,191,432,382,446,405,430,0,271,203,260,179,539,239,112,148,221,358,150,124,87,168,114,228,305,94,147,114,80,11,117,158,40,27,117,14,81,65,147,97,59,152,58,74,71,0,0,259,57,75,101,78,0,0,223,20,106,114,143,0,0,162,41,127,9,544,0,0,207,94,463,130,140,0,0,252,48,115,20,75,0,0,247,117,22,76,115,0,0,370,0,59,118,87,0,0,492,29,180,130,145,0,0,384
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,11,35,49,18,32,55,49,25,57,143,80,110,145,188,93,117,153,146,136,165,88,61,248,215,0,207,186,269,108,134,134,458,128,413,80,79,184,120,170,80,83,407,161,172,166,170,118,176,211,271,150,174,123,199,168,157,192,143,161,119,156,101,30,75,65,186,76,107,80,27,34,27,72,97,30,48,36,50,67,56,35,76,63,41,55,112,70,94,45,27,42,91,37,30,44,285,98,36,221,192,73,132,165,121,48,69,121,91,61,75,90,81,64,223,92,90,105,122,46,132,278,0,115,116,70,126,87,99,89,72,106,82,159,69,80,57,73,59,65,66,202,373,56,55,85,57,50,75,52,58,67,47,20,24,0,107,0,0,0
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,11,56,112,104,131,200,244,220,240,510,507,714,840,912,754,1037,1032,1235,1260,1277,805,1279,1118,951,1128,1142,1018,909,1124,609,891,821,1413,739,822,744,811,707,1072,885,306,689,610,708,347,497,1038,735,615,819,542,563,826,371,802,595,386,941,479,808,928,673,777,854,502,527,1204,776,676,740,879,509,379,651,1212,927,739,667,617,1317,1419,1305,1270,1180,966,1096,1371,1698,1902,2581,2016,1758,2783,2610,3207,3822,4049,3494,2926,3286,5511,5004,8942,9585,8530,5266,6093,6563,10109,9488,11458,10059,6336,7347,9989,8935,11433,10360,15300,12624,9194,10181,13965,11466,10327,12479,10347,9440,9785,10249,12444,12199,9344,8892,9230,9446,9956,9007,9642,7104,4752,5446,5409,7650,7686,8502,6229,4155,6011,7929,6236,6148,6352,3779,2678,3838,4115,4555,4684,4311,2974,2258,2673,3220,3269,3815,3197,2593,1875
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,51,90,133,135,65,180,297,290,256,555,248,237,349,1085,631,696,523,416,359,816,1598,1048,681,974,402,286,1074,957,682,1108,1064,409,648,910,767,936,781,608,725,265,868,495,779,637,1232,840,339,766,402,898,838,596,419,886,526,846,579,550,795,440,340,731,572,946,862,819,760,660,498,583,655,617,608,468,732,836,308,687,953,774,738,539,599,752,731,993,810,1018,880,733,664,952,882,1097,1800,892,1227,1747,1706,1714,1900,1990,2225,2207,1874,2946,3472,2784,2826,2197,1548,3406,3420,2837,4484,3190,2525,3643,3394,3871,3441,3908,4689,3251,2452,3413,3314,4286,4813,3787,2765,2890,4209,3271,3963,4066,3660,3165,2258,2513,3765,3182,4109,4423,3169,2429,3563,3565,2515,3227,3273,1862,1831,2816,2305,2759,2889,2592,1727,2304,2101,2236,2484,2298,2386,1215,1498
